"","G","A","RepoUrl","Dataset","Cloned","LastCommitDate","Commits","Branches","Tags","Committers","CommitID","RootPOM","Compile","Test1","Tests","Test2"
"1","52North","SOS","https://github.com/52North/SOS.git","test","true","WedDec1106:55:232019+0000",4714,1,84,21,"b03788d9d58cfc1b6940f0c7fde27795f013f516","true","true","true",0,"true"
"2","52North","SOS","https://github.com/52North/SOS.git","test","true","WedDec1106:55:232019+0000",4714,1,84,21,"b03788d9d58cfc1b6940f0c7fde27795f013f516","true","true","true",0,"true"
"3","AdamBien","javaee8-essentials-archetype","https://github.com/AdamBien/javaee8-essentials-archetype.git","test","true","WedJul3108:41:302019-0400",31,1,4,2,"5feee5e3f2f174598896e12af43486005f46bfe1","true","true","true",0,"true"
"4","adamcin","oakpal","https://github.com/adamcin/oakpal.git","test","true","TueNov517:39:202019-0800",630,1,40,3,"a355dadd9da5e3bf54d446837eac0c233d4e45aa","true","true","true",0,"true"
"5","adminfaces","admin-starter-persistence-archetype","https://github.com/adminfaces/admin-starter-persistence-archetype.git","test","true","WedJun511:48:202019-0300",32,1,5,3,"d7a4d580cf9f85ad64a5cf047b550bd70cdb7f79","true","true","true",0,"true"
"6","adorsys","docusafe2","https://github.com/adorsys/docusafe2.git","test","true","SatNov3016:54:062019+0100",1653,1,27,32,"117441aab65f0b8de7989800c626e4999380ac73","true","true","false",NA,NA
"7","adorsys","keycloak-config-cli","https://github.com/adorsys/keycloak-config-cli.git","test","true","SunNov2420:57:182019+0100",189,1,42,4,"bb3962dd6a31b5dc05cab308ea6b2a4dee592ab8","true","true","true",19,"true"
"8","adorsys","keycloak-user-secret-adapter","https://github.com/adorsys/keycloak-user-secret-adapter.git","test","true","FriSep2015:13:262019+0200",54,1,11,5,"5f4b80cdb62dba14de24b5f18f4214d31ac4caa6","true","true","true",0,"true"
"9","adorsys","multibanking","https://github.com/adorsys/multibanking.git","test","true","MonDec912:21:412019+0100",1691,1,219,37,"0282e965e9aecba29d21fd6e79f5e910b08e2532","true","true","true",31,"true"
"10","adorsys","pushit","https://github.com/adorsys/pushit.git","test","true","ThuJun3017:29:282016+0200",42,1,3,4,"cab3504a1b4f030ba061ffc92b7cf1506486e856","true","true","true",0,"true"
